"","x"
"1","CALCRL"
"2","CEP295"
"3","CGN"
"4","CRISPLD2"
"5","ECM2"
"6","EPN3"
"7","FREM2"
"8","GRHL2"
"9","HOXB3"
"10","PLXNC1"
"11","PPFIBP2"
"12","SNAI3"
"13","SPINK5"
"14","TCF4"
"15","THBS2"
"16","TNS1"
"17","VASH1"
"18","ADAMTS1"
"19","AKAP12"
"20","ALDOA"
"21","AREG"
"22","BTG1"
"23","CCL5"
"24","CDKN1A"
"25","CLDN4"
"26","DLL4"
"27","EGFL7"
"28","EPHA2"
"29","ETV4l"
"30","F3"
"31","FLI1"
"32","FOXC2"
"33","GDF15"
"34","ID2"
"35","IL11"
"36","IL1RL1"
"37","MMP1"
"38","MMP10"
"39","MMP3"
"40","MYC"
"41","PRSS22"
"42","RORA"
"43","SERPINE1"
"44","SH2D3A"
"45","SHB"
"46","SNAI1"
"47","SNAI2"
"48","SOX9"
"49","TACSTD2"
"50","TGFB1"
"51","TNFRSF12A"
"52","RGCC"
"53","SOX2"
"54","TXNIP"
"55","VAV3"
"56","ADAM8"
"57","ANGPTL4"
"58","CXCL8"
"59","EDN1"
"60","EREG"
"61","FST"
"62","ICAM1"
"63","IL1A"
"64","IL1B"
"65","IL6"
"66","INHBA"
"67","JUN"
"68","LAMB3"
"69","NFATC2"
"70","NR4A1"
"71","NR4A3"
"72","PLAUR"
"73","PTGS2"
"74","PTX3"
"75","SDC4"
"76","TFPI2"
"77","VEGFA"
"78","ZC3H12A"
