Name	Description	pvalue	qvalue	phenotype	genes
GO:0010817	regulation of hormone levels	0.0246	0.0246	1	DHRS9,SLCO4A1,CYP27B1,EGR1,INHBA,BMP2,NR1D1,SDR16C5,HCAR2,IRS2
GO:0009790	embryo development	0.00845	0.00845	1	PDGFB,LFNG,INHBA,SOX9,BMP2,KDM6B,MICAL2,FGF2,HMGA2,ITGA2,DLC1,E2F7,LAMB3
GO:0048598	embryonic morphogenesis	0.0232	0.0232	1	INHBA,SOX9,KDM6B,MICAL2,FGF2,HMGA2,ITGA2,DLC1,LAMB3
GO:0048729	tissue morphogenesis	0.00485	0.00485	1	PKP2,SOX9,BMP2,KDM6B,MICAL2,FGF2,RHOB,HMGA2,DAB2,ITGA2,DLC1,FOXD1
GO:0002009	morphogenesis of an epithelium	0.0368	0.0368	1	SOX9,BMP2,MICAL2,FGF2,RHOB,DAB2,DLC1,FOXD1
GO:0007507	heart development	0.00285	0.00285	1	HDAC9,PKP2,PDGFB,JAG1,SOX9,BMP2,KDM6B,MICAL2,FGF2,DLC1,FOXL1,FOXC2
GO:0009887	animal organ morphogenesis	0.0331	0.0331	1	PKP2,JAG1,LFNG,INHBA,SOX9,BMP2,MICAL2,FGF2,DAB2,ITGA2,DLC1,FOXD1
GO:0043068	positive regulation of programmed cell death	0.000542	0.000542	1	PLAUR,TNFRSF10A,TNFRSF10B,INHBA,BMP2,THBS1,MCL1,RHOB,HMGA2,LATS2,DLC1,PIK3CD,KLF11,NET1,CDK5R1,JUN,HCAR2
GO:0043065	positive regulation of apoptotic process	0.000542	0.000542	1	PLAUR,TNFRSF10A,TNFRSF10B,INHBA,BMP2,THBS1,MCL1,RHOB,HMGA2,LATS2,DLC1,PIK3CD,KLF11,NET1,CDK5R1,JUN,HCAR2
GO:0043062	extracellular structure organization	0.0332	0.0332	1	LAMC2,ICAM1,PDGFB,HAS3,ADAM19,THBS1,FGF2,ITGA2,LAMB3
GO:0030198	extracellular matrix organization	0.0151	0.0151	1	LAMC2,ICAM1,PDGFB,HAS3,ADAM19,THBS1,FGF2,ITGA2,LAMB3
GO:0031098	stress-activated protein kinase signaling cascade	0.0147	0.0147	1	MAP3K9,MAP4K4,SH2D3A,BMP2,IRAK2,DUSP10,DUSP19,ERN1,ZFP36L1
GO:0051403	stress-activated MAPK cascade	0.00907	0.00907	1	MAP3K9,MAP4K4,SH2D3A,BMP2,IRAK2,DUSP10,DUSP19,ERN1,ZFP36L1
GO:0014070	response to organic cyclic compound	0.00915	0.00915	1	RORA,PDGFB,CYP27B1,EGR1,AGO2,TICAM1,THBS1,DAB2,JUNB,JUN,NRIP1,ZFP36L1,HRH1
